QuestionID,LegacyQuestionID,SurveyID,SurveyFocusArea,ScoreFocusArea,SpaceTypeID,CategoryID,SubcategoryID,SchoolLevel,QuestionText,Context,QuestionType,ScoringMode,QuestionWeight,DisplayOrder,IsRequired,IsActive
OD-012,OD-012,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-FUNCTION,SUB-ADJACENCY-AND-ACCESS,"ES, MS",Are the play areas easily accessible for after-hours community use?,Supports community use outside school hours,YesNo,SingleResponse,9,120,True,True
OD-013,OD-013,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-OCCUPANT-EXPERIENCE,SUB-SAFETY-AND-SUPERVISION,ES,Which areas have site lighting to allow for safe evening use?,Supports evening and after-hours safety,MultiSelect,MixedItemScoring,12,130,True,True
OD-014,OD-014,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-OCCUPANT-EXPERIENCE,SUB-SAFETY-AND-SUPERVISION,MS,Which areas have site lighting to allow for safe evening use?,Supports evening and after-hours safety,MultiSelect,MixedItemScoring,12,140,True,True
OD-015,OD-015,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-FUNCTION,SUB-ADJACENCY-AND-ACCESS,"ES, MS",How close are the play areas to the gym or dining commons?,Supports easy access and supervision,SingleSelect,SingleResponse,12,150,True,True
OD-016,OD-016,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-FUNCTION,SUB-AVAILABILITY,ALL,How many clearly defined outdoor studios are there?,,SingleSelect,SingleResponse,12,160,True,True
OD-017,OD-017,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-AMENITIES,SUB-FURNITURE-AND-EQUIPMENT,ALL,Select all that are present (essential outdoor studio features),,MultiSelect,MixedItemScoring,6,170,True,True
OD-018,OD-018,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-AMENITIES,SUB-FURNITURE-AND-EQUIPMENT,ALL,Select all that apply (additional outdoor studio features),,MultiSelect,MixedItemScoring,3,180,True,True
OD-019,OD-019,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-INFRASTRUCTURE,SUB-UTILITIES-AND-TECHNOLOGY,ALL,Select all that are present (outdoor studio technology),Supports technology-enabled outdoor learning,MultiSelect,MixedItemScoring,9,190,True,True
OD-020,OD-020,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-FUNCTION,SUB-AVAILABILITY,ALL,Is there a produce garden?,,YesNo,SingleResponse,9,200,True,True
OD-021,OD-021,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-AMENITIES,SUB-FURNITURE-AND-EQUIPMENT,ALL,Select all that are present (essential produce garden features),,MultiSelect,MixedItemScoring,6,210,True,True
OD-022,OD-022,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-AMENITIES,SUB-FURNITURE-AND-EQUIPMENT,ALL,Select all that are present (additional produce garden features),,MultiSelect,MixedItemScoring,3,220,True,True
OD-023,OD-023,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-FUNCTION,SUB-AVAILABILITY,ALL,Is there a habitat garden?,,YesNo,SingleResponse,9,230,True,True
OD-024,OD-024,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-AMENITIES,SUB-FURNITURE-AND-EQUIPMENT,ALL,Select all that are present (essential habitat garden features),,MultiSelect,MixedItemScoring,12,240,True,True
OD-025,OD-025,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-AMENITIES,SUB-FURNITURE-AND-EQUIPMENT,ALL,Select all that are present (additional habitat garden features),,MultiSelect,MixedItemScoring,6,250,True,True
OD-026,OD-026,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-FUNCTION,SUB-AVAILABILITY,ALL,Is there a domestic animal habitat?,,YesNo,SingleResponse,9,260,True,True
OD-027,OD-027,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-AMENITIES,SUB-FURNITURE-AND-EQUIPMENT,ALL,Select all that are present (essential domestic animal habitat features),,MultiSelect,MixedItemScoring,6,270,True,True
OD-028,OD-028,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-AMENITIES,SUB-FURNITURE-AND-EQUIPMENT,ALL,Select all that are present (additional domestic animal habitat features),,MultiSelect,MixedItemScoring,3,280,True,True
OD-029,OD-029,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-FUNCTION,SUB-ADJACENCY-AND-ACCESS,ALL,"Is the habitat located in a relatively low-traffic area of the campus (i.e., adequate separation from student egress points, playground areas, produce gardens, etc.)?",Supports reduced pest exposure and appropriate site separation,YesNo,SingleResponse,12,290,True,True
OD-030,OD-030,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-FUNCTION,SUB-AVAILABILITY,ALL,Is there a nature trail?,,YesNo,SingleResponse,12,300,True,True
OD-031,OD-031,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-AMENITIES,SUB-FURNITURE-AND-EQUIPMENT,ALL,Select all that are present (essential nature trail features),,MultiSelect,MixedItemScoring,6,310,True,True
OD-032,OD-032,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-AMENITIES,SUB-FURNITURE-AND-EQUIPMENT,ALL,Select all that are present (additional nature trail features),,MultiSelect,MixedItemScoring,3,320,True,True
OD-033,OD-033,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-INFRASTRUCTURE,SUB-UTILITIES-AND-TECHNOLOGY,ALL,Is there green stormwater infrastructure?,,YesNo,SingleResponse,12,330,True,True
OD-034,OD-034,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-INFRASTRUCTURE,SUB-UTILITIES-AND-TECHNOLOGY,ALL,Select all that are present (essential green stormwater features),,MultiSelect,MixedItemScoring,6,340,True,True
OD-035,OD-035,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-INFRASTRUCTURE,SUB-UTILITIES-AND-TECHNOLOGY,ALL,Select all that are present (additional green stormwater features),,MultiSelect,MixedItemScoring,3,350,True,True
OD-036,OD-036,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-FUNCTION,SUB-AVAILABILITY,ALL,Is there a play field?,,YesNo,SingleResponse,12,360,True,True
OD-037,OD-037,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-AMENITIES,SUB-FURNITURE-AND-EQUIPMENT,ALL,What is the play field surface?,,SingleSelect,SingleResponse,9,370,True,True
OD-038,OD-038,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-AMENITIES,SUB-FURNITURE-AND-EQUIPMENT,ALL,Select all that are present (play field features),,MultiSelect,MixedItemScoring,6,380,True,True
OD-039,OD-039,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-FUNCTION,SUB-ADJACENCY-AND-ACCESS,ALL,Is there a path between the main school building and the play field?,,YesNo,SingleResponse,9,390,True,True
OD-040,OD-040,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-OCCUPANT-EXPERIENCE,SUB-SAFETY-AND-SUPERVISION,ALL,Are there clear sightlines from routinely occupied or supervised areas to the following outdoor spaces?,Supports passive supervision across outdoor spaces,MultiSelect,MixedItemScoring,12,400,True,True
OD-041,OD-041,SRV-OUTDOOR,Outdoor,Outdoor,SPT-OUTDOOR-SPACES,CAT-AMENITIES,SUB-STORAGE,ALL,How sufficient is the outdoor storage for play equipment and materials?,,SingleSelect,SingleResponse,12,410,True,True
